Code,Name,Index,Class,Location,Provider,Annual Fee,TC,TER,TIC
STANSX,Stanlib SWIX 40,FTSE/JSE SWIX 40,Equity,Local,Stanlib,0.288,0.04,0.3,0.34
STPROP,Stanlib SA Property,SA Listed Property,Property,Local,Stanlib,0.288,0.02,0.28,0.3
SYG4IR,Sygnia Itrix 4th Industrial Revolution,Kensho New Economies,Equity,Offshore,Sygnia,0.4,0.16,0.63,0.79
SYG500,Sygnia Itrix S&P 500 ETF,S&P 500,Equity,Offshore,Sygnia,0.1,0,0.16,0.16
SYGEU,Sygnia Itrix Euro Stoxx 50,Euro Stoxx 50,Equity,Offshore,Sygnia,0.75,,0.86,0.86
SYGJP,Sygnia Itrix MSCI Japan,MSCI Japan,Equity,Offshore,Sygnia,0.75,,0.86,0.86
SYGP,Sygnia Itrix Global Property,S&P Global Property 40,Property,Offshore,Sygnia,0.15,0.04,0.23,0.27
SYGSW4,Sygnia Itrix SWIX 40,FTSE/JSE SWIX 40,Equity,Local,Sygnia,0.1,0.04,0.15,0.19
SYGT40,Sygnia Itrix Top 40,FTSE/JSE Top 40 ,Equity,Local,Sygnia,0.1,0.04,0.16,0.2
SYGUK,Sygnia Itrix FTSE 100,FTSE 100,Equity,Offshore,Sygnia,0.75,,0.86,0.86
SYGUS,Sygnia Itrix MSCI USA,MSCI US,Equity,Offshore,Sygnia,0.75,,0.86,0.86
SYGWD,Sygnia Itrix MSCI World,MSCI World,Equity,Offshore,Sygnia,0.6,,0.68,0.68
